iter	Passed	Remaining
946	57005	3190
947	57039	3128
948	57079	3067
949	57109	3005
950	57144	2944
951	57168	2882
952	57190	2820
953	57214	2758
954	57238	2697
955	57258	2635
956	57276	2573
957	57328	2513
958	57375	2452
959	57397	2391
960	57416	2330
961	57435	2268
962	57449	2207
963	57463	2145
964	57476	2084
965	57490	2023
966	57506	1962
967	57519	1901
968	57535	1840
969	57550	1779
970	57564	1719
971	57576	1658
972	57589	1598
973	57600	1537
974	57610	1477
975	57625	1417
976	57635	1356
977	57645	1296
978	57654	1236
979	57662	1176
980	57672	1117
981	57681	1057
982	57692	997
983	57701	938
984	57710	878
985	57718	819
986	57728	760
987	57738	701
988	57747	642
989	57756	583
990	57765	524
991	57774	465
992	57783	407
993	57793	348
994	57803	290
995	57813	232
996	57822	173
997	57831	115
998	57840	57
999	57848	0
6	0
